Tabel 1;;;;;
Gemiddeld persoonlijk inkomen per inwoner particulier huishouden, het percentage particuliere huishoudens behorende tot de 40% huishoudens met het laagste besteedbaar;;;;;
inkomen van de landelijke inkomensverdeling en het percentage particuliere huishoudens behorende tot de 20% huishoudens met het hoogste besteedbaar inkomen van de ;;;;;
landelijke inkomensverdeling naar gemeente en wijk, 2020;;;;;
;;;Gemiddeld;40% huishoudens;20% huishoudens
;;;persoonlijk ;met laagste;met hoogste
;;;inkomen;besteedbaar;besteedbaar
;;;per inwoner;inkomen;inkomen
Gemeentelijke indeling van 2023;;;;;
Gemeentecode;Wijkcode;Regionaam;;;
;;;;;
;;;x 1000 euro;%;
;;;;;
;WK015300;Wijk 00 Binnensingelgebied;23,8;65,2;8,5
;WK015301;Wijk 01 Hogeland - Velve;24,1;47,9;14,4
;WK015302;Wijk 02 Boswinkel - Stadsveld;22,1;56,5;9,6
;WK015303;Wijk 03 Twekkelerveld - T.H.T.;21,6;60,6;7,1
;WK015304;Wijk 04 Enschede-Noord;23,4;60,2;11,4
;WK015305;Wijk 05 Ribbelt - Stokhorst;25,9;43,9;15,0
;WK015306;Wijk 06 Enschede-Zuid;21,6;48,4;11,9
;WK015307;Wijk 07 Bedrijfsterreinen Enschede-West;26,9;48,6;21,1
;WK015308;Wijk 08 Glanerbrug en omgeving;23,5;38,6;16,2
;WK015309;Wijk 09 Landelijk gebied en kernen;30,4;27,3;31,7
GM0158;Totaal;Haaksbergen;26,4;33,5;22,2
;WK015800;Wijk 00 Haaksbergen (dorp);25,9;33,8;19,4
;WK015801;Wijk 01 Haaksbergen (buitengebied);29,2;21,3;37,6
;WK015802;Wijk 02 Sint Isidorushoeve;26,8;22,6;35,9
;WK015803;Wijk 03 Buurse;26,3;33,2;26,8
;WK015804;Wijk 04 Rietmolen;25,4;.;.
;WK015805;Wijk 05 Hengevelde;39,1;.;.
;WK015806;Wijk 06 Beckum;28,3;.;.
;WK015809;Wijk 09 Haaksbergen-kern;25,5;59,1;10,8
GM0160;Totaal;Hardenberg;24,1;33,5;19,6
;WK016001;Ane;25,0;17,0;35,6
;WK016002;Anerveen;35,0;.;.
;WK016003;Anevelde;.;.;.
;WK016004;Balkbrug;25,6;29,6;23,3
;WK016005;Bergentheim;22,6;29,0;21,5
;WK016006;Brucht;24,8;21,6;27,9
;WK016007;Collendoorn;25,6;18,4;28,8
;WK016008;De Krim;22,5;34,8;17,6
;WK016009;Dedemsvaart;24,0;35,1;17,3
;WK016010;Den Velde;28,9;.;.
